pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
TaS2,mp-10014,160,-7.758445766666667,6.1614961778250255,-1.4905266454166677,66.04911897278203,0.0,7.089252917842613,7.089253225123575,2.0,1.0,-1
CuI,mp-1007922,63,-2.912310585,5.259605739147027,-0.10070094250000006,120.25633150922032,0.9594000000000004,4.357385,5.253576580384167,1.0,1.0,-1
VTe2,mp-1008626,164,-5.431472726666668,6.31608048509934,-0.3079700833333341,80.48661220464616,0.0,3.655838363626324,6.95375,2.0,1.0,-1
V2C,mp-1008632,164,-9.585351633333334,5.757330550495262,-0.4538206866666658,32.849414608190465,0.0,2.893003170997225,4.532096,2.0,1.0,-1
CrSe2,mp-1009581,164,-6.002180713333334,5.516334782192133,-0.4538905715624999,63.18939994062372,0.0,3.519891228737189,5.889183,2.0,1.0,-1
CoTe2,mp-1009641,164,-4.67163488,7.559601913713964,-0.2066616616666668,69.00236922093474,0.0,3.7852077517901184,5.561013,2.0,1.0,-1
PbS,mp-1012435,186,-4.40111751,6.9733424475740655,-0.8082990415625,113.9507726049701,0.7835000000000001,4.1501461165545726,7.639411,2.0,1.0,-1
In2Se3,mp-1017565,164,-3.6656432039999998,5.659133897523633,-0.4674228254062498,136.88809228086134,0.15249999999999986,4.018419304516267,9.788688,2.0,1.0,-1
Zr2Zn,mp-1018105,139,-6.295972253333333,6.643400169254138,-0.17759062999999978,61.95264788279107,0.0,6.135702894345684,6.135702894345684,2.0,1.0,-1
ZrTe2,mp-1018107,164,-5.825515786666667,5.981655114979786,-0.8807482900000009,96.16913288217592,0.0,3.984199641675101,6.995566,2.0,1.0,-1
PbS,mp-1018115,63,-4.41906752,7.175374538319918,-0.8262490515624998,110.74233899519258,1.2720000000000002,4.303227,6.480004719490642,2.0,1.0,-1
Ti2Rh,mp-1018124,139,-8.339892733333334,7.088660567074918,-0.6214620988888898,46.53187253060987,0.0,5.387758414419952,5.387758414419952,2.0,1.0,-1
VI2,mp-1018138,164,-4.53247448,4.836882798052367,-0.4884973800000001,104.62316998611313,1.1073000000000004,4.112688618481224,7.142424,2.0,1.0,-1
NbTe2,mp-1018150,164,-5.88774414,6.803527397989204,-0.4251085066666664,84.96243338323984,0.0,3.6930324079076255,7.1933320000000025,2.0,1.0,-1
HgSe,mp-1018722,154,-2.0721825516666668,7.782781726496693,-0.17238663033854176,178.93487664736983,1.0508000000000002,4.558765856318791,9.941909,1.0,1.0,-1
NbSe2,mp-10228,164,-6.50778407,5.868051838288191,-0.8100747382291663,70.97875315385062,0.0,3.487511144364273,6.73855,2.0,1.0,-1
Tl2CuF4,mp-1025338,139,-4.031152777142856,7.4523268812089025,-1.9590508963942856,122.17444314066314,0.0,7.529127860412054,7.529127860412054,2.0,1.0,-1
Cu2WSe4,mp-1025340,121,-5.352428934285714,5.804238200474862,-0.33240240276785776,179.31369387387744,1.4152999999999998,6.9463458025401374,6.9463458025401374,2.0,1.0,-1
IrI3,mp-1025442,12,-3.50932165125,6.3451705815349815,-0.1567045850000004,299.87320782730023,1.3977000000000004,6.95261305637082,7.472615508240002,2.0,1.0,-1
HfTe3,mp-1025459,11,-5.4547899775,7.631486817172768,-0.6080170674999996,244.26274853664955,0.0,4.0030480000000015,10.565125874746832,2.0,1.0,-1
NiTe,mp-10264,166,-4.6524429075,7.171055075228673,-0.19072410249999994,86.27669577335544,0.0,7.0581178945608425,7.058117942278522,2.0,1.0,-1
Na2HfN2,mp-1029309,164,-6.6054234339999995,4.920092051008916,-0.9071359022853328,85.21340226609672,0.0,3.310813972975528,8.976514,2.0,1.0,-1
NaRuN,mp-1029313,186,-6.269998896666666,5.067955908196289,-0.08949421023777641,90.47622756787763,0.4636999999999993,3.2296697697753864,10.015845,2.0,1.0,-1
Ca(InN)2,mp-1029479,166,-5.1252496,6.0883503842659925,-0.44246725695199984,81.2022875974553,0.5477999999999996,8.132558980317143,8.132559176014645,2.0,1.0,-1
MgBi2,mp-1038896,12,-3.141869041666667,8.205855847321613,-0.015086151666666938,178.99403849771744,0.0,6.894823625945264,7.9299887612299935,2.0,1.0,-1
PbSe,mp-1063670,63,-4.11348064,7.9527456205155875,-0.5092013661718746,119.50083203276138,0.9241,4.497131,6.502503008554244,2.0,1.0,-1
ZrBr,mp-1065846,12,-6.0962647375,5.386349173186648,-1.0039511525000009,105.51292545373863,0.0066000000000006045,3.5286215475522447,10.113478291844256,2.0,1.0,-1
YI,mp-1065933,164,-4.857251745,4.773036068056478,-0.8620098808333334,150.1608042452391,0.0,3.955973150679615,11.079476,2.0,1.0,-1
ZrBr,mp-1066783,164,-6.0302092475,5.4892915499067305,-0.9378956625000008,103.53420903429807,0.0,3.4513376665398883,10.036408,2.0,1.0,-1
In2Te3,mp-1068510,166,-3.215390572,6.3448486369989014,-0.2287365219999998,160.28339870267789,0.0,10.105803403361113,10.105803535608636,2.0,1.0,-1
CsMnAs,mp-1071293,129,-5.104931028333334,4.772657084539082,-0.1995219458620697,182.84645262064672,0.0,4.499593,9.031088,2.0,1.0,-1
Li2Tl,mp-1077191,63,-2.29595093,6.248510312478503,-0.2361180255555556,116.00782887702593,0.0,4.863936,5.591687136546626,2.0,1.0,-1
CdPb2(ClO)2,mp-1077904,12,-4.3207366785714285,6.4392478334625975,-1.5568485655742852,162.38972529078478,2.5527,6.608434004847517,7.841186214312028,2.0,1.0,-1
WBr4,mp-1078239,12,-4.372311693,5.113053780580443,-0.4711451670000002,327.00941245302687,0.21120000000000005,7.6174022274146065,9.155296662687563,1.0,1.0,-1
Sb2Te3,mp-1078331,12,-3.6122141130000003,6.0957461060964695,-0.07463305899999995,341.2310191701586,0.06769999999999943,8.329107164121975,9.889880870598393,1.0,1.0,-1
As2Se3,mp-1078443,12,-4.079412627,5.001776391564579,-0.11821837840624952,256.77636555027664,0.625,7.330394884741478,9.625137920815993,1.0,1.0,-1
PbS,mp-1078500,62,-4.42439926625,7.205432386637317,-0.8315807978125003,220.56074275673998,1.9001,4.2637230000000015,12.084667,2.0,1.0,-1
Li2H6Pt,mp-1078552,225,-3.7161310288888902,4.64031291551786,-0.4575562053762966,76.94277424220273,3.0845,4.7741304281303405,4.7741304281303405,0.0,1.0,1
H4W,mp-1078595,129,-5.167986948999999,8.617453511993526,0.015427674104000031,72.40384797126215,0.1987000000000001,3.0875790000000003,7.59496,2.0,1.0,-1
TlInS2,mp-1078621,140,-3.85268349375,5.865431013978674,-0.8378543828125,217.0468283007851,1.2865000000000002,6.597040774867621,6.597040774867621,1.0,1.0,-1
Tl2SnHgSe4,mp-1078676,121,-3.2272279075,7.180729472948215,-0.34970239617187504,241.40272902801232,0.8885000000000001,6.82916387969252,6.82916387969252,1.0,1.0,-1
NbSe4,mp-1078815,124,-5.3385926580000005,5.8344993485826695,-0.5216024678750003,232.6641213821405,0.0,5.970832,6.52619,1.0,1.0,-1
CdPSe3,mp-1079559,148,-3.670812535000002,4.661561827736523,-0.30603052412053555,270.91542117717944,1.2818,8.084807190419388,8.084808243899666,2.0,1.0,-1
NiPSe3,mp-1079754,12,-4.453325003,4.979098005074669,-0.11709360812053544,217.80825323611083,0.0,6.163277281250374,6.932315344172538,2.0,1.0,-1
Bi2O3,mp-1091371,160,-5.663351025,7.799722003122977,-1.5599380197499997,198.40274374498608,2.4424,5.8339868562884165,5.833986856656175,2.0,1.0,-1
MgSn2,mp-1094206,12,-3.218522431666667,5.595378787148984,-0.01204784500000026,155.34411654276198,0.0,6.6516893502397565,7.507952721729207,2.0,1.0,-1
MgSn5,mp-1094246,8,-3.576828893333333,6.336072763211107,0.03119432749999973,161.92559702773715,0.0,6.530038759728766,7.8458343798840176,2.0,1.0,-1
MgSn,mp-1094250,8,-2.848960416666667,4.792267657958581,-0.044034464166667085,148.6657329429897,0.0,6.837070353042304,7.081074765179789,2.0,1.0,-1
MgSn2,mp-1094252,12,-3.2325368266666668,5.642983189291872,-0.026062239999999903,154.03362818113322,0.0,6.73784654972529,7.30195776734466,2.0,1.0,-1
MgGa5,mp-1094662,8,-2.8176967333333334,5.359391953899504,-0.027570472916667185,115.54449348790506,0.0,5.629478636628617,7.03732052319013,2.0,1.0,-1
MgBi2,mp-1094981,63,-3.1414142233333333,8.287043128533128,-0.014631333333333291,177.2404529167925,0.0,5.890664,8.594784194528039,1.0,1.0,-1
MgBi2,mp-1095014,12,-3.1455129016666667,8.34347126043184,-0.01873001166666673,176.04174948235905,0.0,5.9936059944631825,9.692469701743978,2.0,1.0,-1
InGaSe2,mp-1095059,140,-3.680220825,5.341485022285088,-0.4873202780468753,212.9257563821177,0.0,6.592403491712867,6.592403491712867,1.0,1.0,-1
WBr5,mp-1095321,2,-3.9902975733333332,4.569571344535404,-0.4665043783333338,423.9750282267513,0.0,6.894130935344192,9.984284944371048,0.0,1.0,-1
SbSI,mp-1095595,33,-3.572808210833333,4.595263295663244,-0.5308069702083333,405.7763153818418,1.7025,4.14322,10.702902,1.0,1.0,-1
As,mp-11,166,-4.659118405,5.540734383642445,0.0,44.907492443408564,0.0,4.172308590765788,4.172309085887334,2.0,1.0,-1
TlInO2,mp-1101250,166,-4.901600745,9.01831455386902,-1.5004338331249991,64.66635009904721,0.9634,6.810247319701468,6.810247691567466,2.0,1.0,-1
HfTl2Se3,mp-1102545,11,-5.084306624166667,7.824776763054023,-0.8896017503385417,349.78915359644463,1.0100999999999996,3.94338,10.824248079897883,2.0,1.0,-1
ZrTl2S3,mp-1102830,11,-5.261758175,6.227389490701528,-1.3134288098958329,317.94686400218615,1.1704999999999997,3.831384,10.464384482871843,2.0,1.0,-1
TlFe2S3,mp-1103174,63,-5.6902985175000005,5.512697683779581,-0.7368604607291681,248.36755336142662,0.0,5.148823,7.008631974086026,1.0,1.0,-1
H6W,mp-1104418,12,-4.541051782142857,6.1051674434599175,0.08702628046857137,103.29474085833792,0.0,6.006663076101072,7.0816032562568765,2.0,1.0,-1
TlSb(PSe3)2,mp-1105142,4,-4.032832977,4.93109438706108,-0.20356349612053606,580.4540941615821,1.5530000000000002,7.04,10.197093411256565,1.0,1.0,-1
TlCu2(SeO5)2,mp-1105161,12,-4.955973539333333,4.547650567326445,-0.9554039418124992,237.11942817892867,0.10249999999999998,5.837581563464445,8.862565200194581,2.0,1.0,-1
Ba3Rh(CN)3,mp-1105268,176,-7.1599476985,4.462035355684541,-0.694049796214,441.32231009539635,0.6682999999999999,5.900908,9.29294126570108,0.0,1.0,-1
Y3Co,mp-1105598,62,-6.7711373775,5.148898383530766,-0.1442045937499996,420.0943532850076,0.0,6.314404,9.482838,2.0,1.0,-1
Y3Ni,mp-1105633,62,-6.534222859375,5.094566393129406,-0.2393353543750001,424.26189275158094,0.0,6.366739,9.703759,2.0,1.0,-1
Te6IrCl3,mp-1105647,167,-3.6921258665000014,5.532925305557262,-0.5461469734780003,638.7600497564075,1.2223000000000006,9.224073136488297,9.224073375350011,1.0,1.0,-1
Ba3Ir(CN)3,mp-1106080,176,-7.344037955500001,5.143294141168917,-0.7307277982140008,440.5359986034897,0.7083000000000004,5.850409,9.324644359187381,0.0,1.0,-1
Bi4Te2Br2O9,mp-1106129,99,-5.2187741723529415,7.603883365805807,-1.49338703125,304.6241002935588,1.7886999999999995,5.570488,9.816977,2.0,1.0,-1
MnPbO3,mp-1106337,13,-6.424695133999999,6.675021473471322,-1.6385951748730334,308.609254869293,0.0,5.0665830000000005,10.3607166236494,2.0,1.0,-1
PtSe2,mp-1115,164,-4.741593993333333,7.821289821454455,-0.3873504382291664,74.94632548433812,0.6743000000000001,3.7610245817586727,6.117971,2.0,1.0,-1
ZrAg,mp-11239,129,-5.811434515,8.085385116477651,-0.12130619833333345,81.77727373346553,0.0,3.4994370000000004,6.677844,2.0,1.0,-1
TaSe2,mp-11324,164,-7.070948283333332,7.779772171096305,-0.7877480882291662,72.3290272235088,0.0,3.499031479817808,6.8216,2.0,1.0,-1
GaSe,mp-11342,160,-3.8510415775,4.414086243442752,-0.5890380874218755,111.86638249583618,1.3619999999999999,9.13031128631713,9.130312021412903,2.0,1.0,-1
CuPb2(ClO)2,mp-1147595,139,-4.545780444285714,7.354409701592712,-1.3281327727171433,131.1492675009634,0.0,8.634393557132197,8.634393557132197,2.0,1.0,-1
