,pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
0,Hf2S,mp-10000,194,-9.04516013,11.035293578624938,-1.2493709410416671,117.08332298775065,0.0,3.386678708029594,11.787358,2.0,1.0,-1
1,GaTe,mp-10009,194,-3.44979083,4.8047225174667245,-0.36409261375,272.7837447823904,0.8979999999999997,4.1345994505180315,18.42557,2.0,1.0,-1
2,TaS2,mp-10014,160,-7.758445766666667,6.1614961778250255,-1.4905266454166677,66.04911897278203,0.0,7.089252917842613,7.089253225123575,2.0,1.0,-1
3,NbS2,mp-10033,194,-7.138574028333332,4.019532989371367,-1.456145770416666,129.74892583639428,0.0,3.3627536616631613,13.248997,2.0,1.0,-1
4,CsB3PbF12,mp-1004528,8,-5.614997878235294,3.0684580338604057,-3.1624786805712377,324.9794296634078,6.3125,6.865335959528927,6.8918475306379925,2.0,1.0,1
5,CCl4,mp-1004532,15,-3.4756479072500004,1.693441827675247,-0.6272109858579998,2413.343981522352,4.513,12.08710916096256,20.73555927963808,0.0,1.0,1
6,Tl3Bi,mp-1006059,194,-2.78039636625,10.517436213013116,-0.03664805375000002,259.6030921103102,0.0,5.389167,7.45811023883356,1.0,1.0,-1
7,P2S7,mp-1006118,2,-4.538038977222223,1.941182983062771,-0.6338722226686515,489.9925293229972,2.0233,6.413214,11.673017323160026,1.0,1.0,-1
8,Mg(InSe2)2,mp-1006591,2,-3.738462426071429,4.7215878602033605,-0.7259919374107139,801.546969299149,0.7989999999999999,7.16965,13.693734212820619,2.0,1.0,-1
9,CuI,mp-1007922,63,-2.912310585,5.259605739147027,-0.10070094250000006,120.25633150922032,0.9594000000000004,4.357385,5.253576580384167,1.0,1.0,-1
10,SnPOF7,mp-1008228,61,-5.1437947123750005,2.8188913325406224,-2.7825573001901427,1407.5221487822253,4.4455,10.057369,12.486725999999999,0.0,1.0,1
11,Cl2,mp-1008394,64,-1.8485262325,1.6735675643069048,0.0,140.7080127118759,2.2818,4.3892277066268734,8.601525,0.0,1.0,-1
12,BrCl,mp-1008492,63,-1.794627915,2.5271615889277146,-0.34923915662999994,151.5968000978154,1.8278,4.645947050138755,7.810701,1.0,1.0,-1
13,VTe2,mp-1008626,164,-5.431472726666668,6.31608048509934,-0.3079700833333341,80.48661220464616,0.0,3.655838363626324,6.95375,2.0,1.0,-1
14,V2C,mp-1008632,164,-9.585351633333334,5.757330550495262,-0.4538206866666658,32.849414608190465,0.0,2.893003170997225,4.532096,2.0,1.0,-1
15,Hf2Tl,mp-1009238,139,-7.39523525,13.735758015746038,0.03010830999999925,67.86416076469197,0.0,5.968394181116726,5.968394181116726,2.0,1.0,-1
16,O2,mp-1009490,12,-4.946243415,1.1409697618155776,0.0017120537500003865,46.57025914496467,1.6300999999999997,3.3426660501804544,4.625978470218491,0.0,1.0,-1
17,CrSe2,mp-1009581,164,-6.002180713333334,5.516334782192133,-0.4538905715624999,63.18939994062372,0.0,3.519891228737189,5.889183,2.0,1.0,-1
18,CoTe2,mp-1009641,164,-4.67163488,7.559601913713964,-0.2066616616666668,69.00236922093474,0.0,3.7852077517901184,5.561013,2.0,1.0,-1
19,PbS,mp-1012435,186,-4.40111751,6.9733424475740655,-0.8082990415625,113.9507726049701,0.7835000000000001,4.1501461165545726,7.639411,2.0,1.0,-1
20,VS2,mp-1013525,194,-6.636547675,3.0236853435834594,-1.2932524070833342,126.3892895520712,0.0,3.180255578645842,14.429642000000001,2.0,1.0,-1
21,VS2,mp-1013526,166,-6.6333908999999975,3.3643343346397767,-1.2900956320833334,56.79599653187296,0.0,6.689183702477979,6.689184059641727,2.0,1.0,-1
22,Sn4SF6,mp-1013750,36,-4.762094389545454,4.248491913317467,-2.213496381387728,485.3586264917723,2.4505000000000003,7.6381223589115805,8.895499000000003,2.0,1.0,-1
23,TiSCl,mp-1013900,59,-6.120934281666668,3.041376562767094,-1.9134899949061115,125.99643368417291,0.0,3.4390519999999998,7.5786419999999985,2.0,1.0,-1
24,Hf2Zn,mp-1014231,139,-7.23574785,11.755995457951894,-0.17770741333333362,59.66261541277445,0.0,6.0838171717085645,6.0838171717085645,2.0,1.0,-1
25,Re2O7,mp-1016092,19,-8.10618098486111,5.837607744971918,-2.038546245833334,1102.3438809662773,2.6752,5.558364,15.566044,2.0,1.0,-1
26,In2Se3,mp-1017565,164,-3.665643204,5.659133897523633,-0.4674228254062498,136.88809228086134,0.15249999999999986,4.018419304516267,9.788688,2.0,1.0,-1
27,TiMo3,mp-1017983,71,-10.25536149,8.788249859161299,-0.14725621333333372,63.42803022022309,0.0,5.2555336932167975,5.2555336932167975,2.0,1.0,-1
