pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Cs2Se,mp-1011696,62,-2.7904239700000004,4.069971077533028,-1.0281852294019398,562.6630203317403,1.8027,5.624158,10.998913,3.0,-1.0
Cs2Se,mp-1011709,14,-2.79025641,4.073134104036877,-1.0280176694019396,562.2260796367897,1.8141000000000005,5.6301879999999995,12.173633124054627,3.0,-1.0
Ca4SiN4,mp-1019576,14,-6.262462076666668,2.9785513697395327,-1.2338395999466667,545.0650985574257,1.4465000000000003,5.992997,11.032917855110725,3.0,-1.0
CaMg3SiN4,mp-1019579,88,-6.037365041388887,2.938699474492668,-1.1438491746688884,891.0092473893886,2.4058,10.56176327278864,10.56176327278864,3.0,-1.0
Cs3BO3,mp-1019608,55,-5.300172176428573,4.584931176103855,-2.142658563101396,1325.6278535519114,2.4689000000000005,10.615122,11.197635,3.0,-1.0
Cs4ZnO3,mp-1019612,14,-3.6251461653125,4.773748667500633,-1.4278524772467676,897.4882766677503,1.6759,7.152475,19.214643,3.0,-1.0
Li2Ge4O9,mp-1020012,29,-6.1927974526666665,4.16791356034563,-2.158067694527778,714.6467722152344,2.7381,4.695928,16.098192,3.0,-1.0
LiCa3Si2N5,mp-1020056,15,-6.6326729615909095,3.0385509207692305,-1.3109719175212122,553.8779100915114,2.4385000000000003,10.420459356188907,10.581304556722342,3.0,-1.0
Mg(NO3)2,mp-1020058,148,-6.219498270462962,2.259541939571467,-1.4440296884918518,1307.9598935083682,3.4668,14.559349508843345,14.559349767470248,3.0,-1.0
LiCaAl3N4,mp-1020107,88,-6.580340671805555,2.991310116930157,-1.3624363399003698,817.095550439076,3.0206,10.247012617040737,10.247012617040737,3.0,-1.0
KNO3,mp-1020193,14,-5.859241643,1.9716607954217764,-1.499268134826,340.5977615381029,2.9047,4.683243,14.275016272485368,3.0,-1.0
SrMg3SiN4,mp-1020587,88,-5.9814753791666675,3.5279832920067244,-1.1230838042985178,921.1980115861293,3.007,10.67727183902035,10.67727183902035,3.0,-1.0
Y(NO3)3,mp-1020671,14,-6.8243249901923075,2.635770932638115,-1.5524113828889743,692.8011957840909,3.2704000000000004,6.229126,11.267703084342699,2.0,1.0
MoS2,mp-1023924,187,-7.236762006666668,1.729127580420431,-1.3062210854166676,153.7205764342924,1.6606999999999998,3.1903153919636225,17.439501999999994,2.0,1.0
WS2,mp-1023937,187,-7.893558746666668,2.7309312361995106,-1.258856678750001,150.77782511940194,1.8091,3.1907306611089887,17.101201,2.0,1.0
Na4Zn3S5,mp-1024070,62,-3.435142214375,3.0440208378136453,-1.2349097951215278,978.6663167464168,1.9107,3.931371,18.874952,3.0,-1.0
Na2Zn3S4,mp-1024072,61,-3.3811097238888888,3.27083863692744,-1.1254991982407414,752.3136766231153,2.2584,6.8554949999999995,14.131416,3.0,-1.0
Na2ZnS2,mp-1024076,61,-3.3921357785,2.57934362271788,-1.2251302230833332,903.9676222257167,2.1451,6.755634,18.675595,3.0,-1.0
Ca7SiN6,mp-1029474,60,-5.933308105357143,3.004270533805523,-1.1347833692342857,868.1597623930159,1.8303,6.175974,12.996186999999999,3.0,-1.0
SrGeN2,mp-1029497,61,-6.2456374878125,5.2403488057169385,-0.6912741169191658,954.5481722454505,2.4540999999999995,5.437576,16.177086,3.0,-1.0
KNbN2,mp-1029504,61,-7.7289323046875,3.5380722066788484,-0.9497702141274996,1201.6318839428059,2.0359,5.974729,16.825295,3.0,-1.0
Li7SbN4,mp-1029522,218,-4.657849685416667,3.0659706995287834,-0.5494038473211109,980.837915019784,2.2181,9.935714,9.935714,3.0,-1.0
CaTiN2,mp-1029572,61,-8.00007813640625,3.5711820061268367,-1.5485690684295823,862.699030046986,2.2611,4.99694,17.152658,3.0,-1.0
CsC2N3,mp-1029718,152,-7.4833101394444475,2.0329813993207093,-0.28224675028961604,487.4995697274836,4.0731,4.895849090267795,23.484841,3.0,-1.0
BaGeN2,mp-1029743,61,-6.19447868703125,6.044851396887332,-0.5827429219712492,1045.9830367074546,2.5305,5.5930839999999975,16.662798000000002,3.0,-1.0
Y4Te3N2,mp-1029811,62,-7.309810117222222,5.482974715156473,-1.6208399373807407,928.472819662507,1.3436000000000003,7.217617,11.668694,3.0,-1.0
Rb3W2N5,mp-1029857,80,-7.5184303445000005,5.211079116737786,-0.6564087349399997,884.736695349838,2.046,10.687226598981187,10.687226598981187,3.0,-1.0
K3W2N5,mp-1029938,80,-7.57950897975,4.534523089694576,-0.6785279078399995,812.9746941508987,2.18,10.386466073567467,10.386466073567467,3.0,-1.0
NaNbN2,mp-1030657,61,-7.74748793953125,3.7388858988352727,-0.9172625315545826,1022.6251780967384,2.2984,5.651865,15.959748999999999,3.0,-1.0
Li20Si3P3S23Cl,mp-1040451,6,-4.38518144,1.8396670132677395,-1.3486439421503191,982.915389590278,2.3968,8.776288000000001,12.75154308378484,3.0,-1.0
Tl2TeMo2(PO7)2,mp-10448,60,-6.5245109757142865,5.0129201405269175,-2.107283297840136,1343.8035861572585,2.8238000000000003,9.229453,12.656989,3.0,-1.0
Cs2Ti(AgS2)2,mp-10488,132,-4.5497735383333335,4.178013146940503,-1.3005104011143045,522.7814447441749,1.9722,6.1097209999999995,14.004816,3.0,-1.0
RbSbS2,mp-10621,2,-4.059838903125,3.504782323620724,-1.0459601415625,514.2690031158602,2.0737,6.6892309999999995,12.283297730880909,3.0,-1.0
PbS,mp-1067627,12,-4.39858281,2.651186294135805,-0.8057643415625,299.72158550220473,2.0879,4.244495412434794,16.686755528784047,2.0,1.0
K3Cu5O4,mp-10914,14,-4.503823164375,3.5207705123999102,-1.1029988255416665,941.4375102767572,1.5514,7.3242080000000005,14.071412407487529,3.0,-1.0
P,mp-1094075,6,-5.345582629,0.7531643069387214,0.06770323242857118,682.8940427305091,1.3057,5.598318,19.809882,2.0,1.0
Na2Zn2S3,mp-1094106,96,-3.407100943571429,2.892264639823748,-1.18313505014881,626.9340210815725,2.031,7.457378,11.27326,3.0,-1.0
Al2ZnS4,mp-1096809,62,-4.5354940560714265,3.0888897639451467,-1.3008005221428576,532.4926038263234,2.187099999999999,5.910544,12.474986,3.0,-1.0
Al4ZnS7,mp-1096832,31,-4.742598292916667,2.147537361677574,-1.363183626406251,615.1660999965585,3.0135,6.170175,15.237119,3.0,-1.0
KSnBr3,mp-1097014,62,-3.1889666544999997,3.718323311782148,-1.1828165701,710.1028421330849,2.2706,4.519329,16.280493,3.0,-1.0
KSnI3,mp-1097015,62,-2.839294684,4.145998244761501,-0.9008929546,862.7464700903912,1.9402,4.789615,17.345938,3.0,-1.0
Li20Si3P3S23Cl,mp-1097034,6,-4.3847452208,1.8238871791477704,-1.3482077229503189,991.4193376299517,2.3811,8.77029,12.771844530833595,3.0,-1.0
Li20Si3P3S23Cl,mp-1097035,6,-4.3897072508,1.810902081621219,-1.353169752950319,998.528323212048,2.3126,8.771989,12.792653851775091,3.0,-1.0
